Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Politische Gemeinden 01.01.2024; ; 
Identifikator;Bezeichnung;Bevölkerungsdichte (Gesamtfläche) 2024
784;Innertkirchen;4.6
785;Meiringen;118.5
786;Schattenhalb;18.6
791;Boltigen;16.5
792;Lenk;18.9
793;St. Stephan;21.8
794;Zweisimmen;41.9
8;Maschwanden;144.3
81;Bachs;74.3
82;Boppelsen;359.8
83;Buchs (ZH);1165.8
84;Dällikon;990.2
841;Gsteig;16.5
842;Lauenen;14.8
843;Saanen;57.7
85;Dänikon;650.2
852;Guggisberg;27.2
853;Rüschegg;30.3
855;Schwarzenburg;151.7
86;Dielsdorf;1145.7
861;Belp;503.8
863;Burgistein;142
866;Gerzensee;166.6
867;Gurzelen;193.8
868;Jaberg;232.8
869;Kaufdorf;534.5
87;Hüttikon;601.9
870;Kehrsatz;1051.8
872;Kirchdorf (BE);126.7
877;Niedermuhlern;71.8
879;Riggisberg;92.3
88;Neerach;551
880;Rüeggisberg;48.7
883;Seftigen;562.5
884;Toffen;545.3
885;Uttigen;571.1
886;Wattenwil;222.1
888;Wald (BE);90.1
889;Thurnen;346.2
89;Niederglatt;1529.7
9;Mettmenstetten;442.3
90;Niederhasli;853.8
901;Eggiwil;40.6
902;Langnau im Emmental;198
903;Lauperswil;128
904;Röthenbach im Emmental;32.6
905;Rüderswil;138.9
906;Schangnau;25.3
907;Signau;121.9
908;Trub;20.6
909;Trubschachen;96.5
91;Niederweningen;488.9
92;Oberglatt;942.1
921;Amsoldingen;177.1
922;Blumenstein;84.3
923;Buchholterberg;101.2
924;Eriz;22
925;Fahrni;119.8
927;Heiligenschwendi;129.9
928;Heimberg;1301.3
929;Hilterfingen;1457.3
93;Oberweningen;385.6
931;Homberg;76.8
932;Horrenbach-Buchen;11
934;Oberhofen am Thunersee;931
935;Oberlangenegg;51.6
936;Pohlern;25
938;Sigriswil;87.9
939;Steffisburg;1119.6
94;Otelfingen;409
940;Teuffenthal (BE);34
941;Thierachern;337.2
942;Thun;2045.7
943;Uebeschi;160
944;Uetendorf;596.6
945;Unterlangenegg;157.6
946;Wachseldorn;67.8
948;Forst-Längenbühl;173.1
95;Regensberg;201.7
951;Affoltern im Emmental;105.2
952;Dürrenroth;76.2
953;Eriswil;117.9
954;Huttwil;297.9
955;Lützelflüh;162.7
956;Rüegsau;218.8
957;Sumiswald;87.8
958;Trachselwald;57.4
959;Walterswil (BE);70.5
96;Regensdorf;1387.3
960;Wyssachen;96.2
97;Rümlang;664.2
971;Attiswil;202.1
972;Berken;33.8
973;Bettenhausen;175.6
975;Farnern;61.4
976;Graben;106.6
977;Heimenhausen;208.7
979;Herzogenbuchsee;764
98;Schleinikon;152.8
980;Inkwil;200
981;Niederbipp;281.1
982;Niederönz;646.2
983;Oberbipp;231.4
985;Ochlenberg;44.2
987;Rumisberg;95.9
988;Seeberg;95.2
989;Thörigen;262.2
99;Schöfflisdorf;352.1
990;Walliswil bei Niederbipp;151
991;Walliswil bei Wangen;205.9
992;Wangen an der Aare;359.2
995;Wiedlisbach;353.9
