period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh), metering rate (cts./kWh), annual metering cost (CHF p.a.)
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H7,Haushalt Standard,12.667,0,12.667,114,0,11.01,Haushalt Standard,18.297,0,18.297,36,0,18.02,0,2.3,33.264,,
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C6,Industrie,5.329,0,5.329,720,10.4,4.5,Industrie,18.02,0,18.02,0,0,18.02,0,2.3,25.649,,
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H8,Haushalt Standard,13.31,0,13.31,114,0,11.01,Haushalt Standard,18.5,0,18.5,36,0,18.02,0,2.3,34.11,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H7,Netz Basic,7.361,0,7.361,62.4,0,6.101,Energie Basic,18.803,0,18.803,0,0,18.803,0,2.3,28.464,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C5,Netz Professional MS,9.226,0,9.226,660,18180,4.678,Energie Professional MS,17.408,0,17.408,0,0,17.408,0,2.3,28.934,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C1,Netz Basic,8.372,0,8.372,62.4,0,6.812,Energie Basic,19.665,0,19.665,0,0,19.665,0,2.3,30.338,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H5,Netz Basic,7.602,0,7.602,62.4,0,5.99,Energie Basic,18.669,0,18.669,0,0,18.669,0,2.3,28.571,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H2,Netz Basic,9.581,0,9.581,62.4,0,6.305,Energie Basic,19.051,0,19.051,0,0,19.051,0,2.3,30.932,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C6,Netz Professional MS,8.756,0,8.756,660,48480,4.7,Energie Professional MS,17.482,0,17.482,0,0,17.482,0,2.3,28.538,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C2,Netz Basic,7.771,0,7.771,62.4,0,6.783,Energie Basic,19.63,0,19.63,0,0,19.63,0,2.3,29.702,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H8,Netz Basic,7.934,0,7.934,62.4,0,6.322,Energie Basic,19.071,0,19.071,0,0,19.071,0,2.3,29.306,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H6,Netz Basic,6.663,0,6.663,62.4,0,5.633,Energie Basic,18.236,0,18.236,0,0,18.236,0,2.3,27.198,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C4,Netz Professional NS,9.813,0,9.813,641.4,18178.92,5.269,Energie Professional 100+,17.816,0,17.816,0,0,17.816,0,2.3,29.928,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H1,Netz Basic,11.016,0,11.016,62.4,0,6.336,Energie Basic,19.088,0,19.088,0,0,19.088,0,2.3,32.403,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H4,Netz Basic,8.489,0,8.489,62.4,0,6.322,Energie Basic,19.071,0,19.071,0,0,19.071,0,2.3,29.86,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C3,Netz Professional NS,10.585,0,10.585,641.4,6059.64,5.338,Energie Professional 100+,18.122,0,18.122,0,0,18.122,0,2.3,31.008,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C7,Netz Professional MS,8.005,0,8.005,660,197556,4.582,Energie Professional MS,17.089,0,17.089,0,0,17.089,0,2.3,27.394,,
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H3,Netz Basic,8.105,0,8.105,62.4,0,5.938,Energie Basic,18.606,0,18.606,0,0,18.606,0,2.3,29.011,,
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H3,Haushalt und Gewerbe Standard,13.827,0,13.827,120,0,10.38,Haushalt und Gewerbe Standard,15,0,15,36,0,14.2,0,2.3,31.127,,
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H2,Haushalt und Gewerbe Standard,15.96,0,15.96,120,0,10.38,Haushalt und Gewerbe Standard,15.64,0,15.64,36,0,14.2,0,2.3,33.9,,
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,C3,Gewerbe alle Branchen Grosskunden,15.236,0,15.236,624.5,6240,9.88,Gewerbe alle Branchen Grosskunden,14.2,0,14.2,0,0,14.2,0,2.3,31.736,,
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,C2,Haushalt und Gewerbe Standard,11.56,0,11.56,120,0,10.38,Haushalt und Gewerbe Standard,14.32,0,14.32,36,0,14.2,0,2.3,28.18,,
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,C1,Haushalt und Gewerbe Standard,12.66,0,12.66,120,0,10.38,Haushalt und Gewerbe Standard,14.65,0,14.65,36,0,14.2,0,2.3,29.61,,
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H8,Haushalt und Gewerbe Standard,12.76,0,12.76,120,0,10.38,Haushalt und Gewerbe Standard,14.68,0,14.68,36,0,14.2,0,2.3,29.74,,
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H1,Haushalt und Gewerbe Standard,18.66,0,18.66,120,0,10.38,Haushalt und Gewerbe Standard,16.45,0,16.45,36,0,14.2,0,2.3,37.41,,
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H5,Haushalt und Gewerbe Standard,12.76,0,12.76,120,0,10.38,Haushalt und Gewerbe Standard,14.68,0,14.68,36,0,14.2,0,2.3,29.74,,
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H7,Haushalt und Gewerbe Standard,12.083,0,12.083,120,0,10.38,Haushalt und Gewerbe Standard,14.477,0,14.477,36,0,14.2,0,2.3,28.86,,
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H4,Haushalt und Gewerbe Standard,14.047,0,14.047,120,0,10.6,Haushalt und Gewerbe Standard,15,0,15,36,0,14.2,0,2.3,31.347,,
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H6,Haushalt und Gewerbe Standard,11.64,0,11.64,120,0,10.38,Haushalt und Gewerbe Standard,14.344,0,14.344,36,0,14.2,0,2.3,28.284,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,C7,5 ibk.industrie M Netz,5.96,0,5.96,588,198142.8,2.24,ibk.industrie Energie,11.4,0,11.4,34.8,0,11.4,0.15,2.3,19.811,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,C1,7 ibk.classic Netz,9.575,0,9.575,72,0,7.605,ibk.classic Energie,13.465,0,13.465,34.8,0,13.03,0.404,2.3,25.743,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,C3,7 ibk.business Netz,10.044,0,10.044,588,6096,4.518,ibk.business Energie,11.653,0,11.653,34.8,0,11.63,0.164,2.3,24.161,,
